x,z
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdA&GL_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Verenigde_Senioren_Partij_have_vote(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CDA_have_vote(1998)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/RK_have_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/GL&De_Groenen_have_vote(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_vote(1962)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CPN_have_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PC_have_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/FNP_have_vote(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_invalid_blank(1949)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(1986)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/valid_vote(1958)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/GROENLINKS_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_blank(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CHU_have_vote(1962)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/VVD_have_vote(1949)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Partij_van_de_Arbeid_(P.v.d.A.)_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/D66&GroenLinks_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/blank_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PAK_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/blank_vote(1994)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/VVD_have_vote(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PPR_have_vote(1986)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/VVD_have_vote(1962)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/GL_have_vote(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/voters_number(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Partij_voor_Zeeland_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/De_Groenen_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdA_have_vote(1958)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/RK_have_vote(1982)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/has_seats(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/KVP_have_vote(1953)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PC_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdD_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CDA_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/blank_vote(1953)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Nederlandse_Volks&Unie_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PPR_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdA_have_vote(1978)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/valid_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Overige_partijen_met_zetels_have_vote(1946)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(1982)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/RK_have_vote(1958)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CU&SGP_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/voters_number(1994)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/GL_have_vote(2002)
