Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;RK;Overige;PAK;PCG;KVP;CPN;PPR;SGP;CHU;ARP;GPV;PSP;BP;DS70;D66;PC;GG
10827;872;Willemstad;1451;0;0,00%;1741;1456;83,63%;527;545;196;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10758;349;Willeskop;520;0;0,00%;607;522;86,00%;0;0;0;0;217;0;0;157;0;0;0;114;32;0;0;0;0;0;0;0
10365;350;Wilnis;2436;0;0,00%;3155;2449;77,62%;0;0;407;0;668;0;549;539;0;0;0;273;0;0;0;0;0;0;0;0
10453;52;Winschoten;9829;0;0,00%;13647;9892;72,48%;4220;2137;1556;0;343;0;0;0;1463;0;0;0;0;110;0;0;0;0;0;0
11135;53;Winsum;2597;0;0,00%;2887;2607;90,30%;794;1145;390;0;0;0;0;0;0;192;0;0;0;76;0;0;0;0;0;0
11119;294;Winterswijk;13793;0;0,00%;18449;13862;75,14%;6227;3611;3160;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10318;295;Wisch;8153;0;0,00%;12243;8182;66,83%;1513;0;785;0;1485;0;1895;2475;0;0;0;0;0;0;0;0;0;0;0;0
10243;727;Wissenkerke;1742;0;0,00%;2150;1748;81,30%;310;0;0;0;298;0;0;0;0;0;168;436;530;0;0;0;0;0;0;0
11371;990;Wittem;4019;0;0,00%;4477;4062;90,73%;0;0;0;4019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10602;873;Woensdrecht;3902;0;0,00%;5726;3943;68,86%;489;702;500;2134;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0
10974;632;Woerden;10221;0;0,00%;13936;10251;73,56%;1407;0;1714;0;1429;0;2586;2462;0;0;623;0;0;0;0;0;0;0;0;0
10818;466;Wognum;1607;0;0,00%;2131;1616;75,83%;0;0;0;0;511;173;0;883;40;0;0;0;0;0;0;0;0;0;0;0
10454;99;Wonseradeel;5873;0;0,00%;7650;5903;77,16%;0;2979;586;0;569;1613;0;0;0;0;0;0;0;126;0;0;0;0;0;0
10768;100;Workum;2131;0;0,00%;2660;2143;80,56%;235;0;0;0;512;0;0;476;0;0;0;563;345;0;0;0;0;0;0;0
10648;467;Wormer;5441;0;0,00%;7341;5453;74,28%;1668;1445;872;0;871;0;0;0;585;0;0;0;0;0;0;0;0;0;0;0
10461;633;Woubrugge;1973;0;0,00%;2552;1980;77,59%;0;0;331;0;480;0;307;543;0;0;0;312;0;0;0;0;0;0;0;0
11398;351;Woudenberg;4067;0;0,00%;5397;4082;75,63%;0;0;740;0;792;731;0;0;0;0;493;1017;294;0;0;0;0;0;0;0
10282;874;Woudrichem;5662;0;0,00%;6956;5684;81,71%;1063;0;385;0;549;0;0;0;0;0;341;2038;1124;162;0;0;0;0;0;0
10808;875;Wouw;3458;0;0,00%;4935;3504;71,00%;119;0;254;3085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
