Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;1674;Roosendaal;29800;34;0,11%;59540;29834;50,11%;9539;6126;2690;6178;0;717;0;1963;2587;0;0;0
;599;Rotterdam;248217;1106;0,45%;453140;249323;55,02%;93852;28047;55648;24417;16081;12698;0;9815;0;0;6834;825
;600;Rozenburg;6223;18;0,29%;10408;6241;59,96%;1391;705;1110;846;0;1637;534;0;0;0;0;0
;277;Rozendaal;994;2;0,20%;1202;996;82,86%;782;0;0;0;0;0;0;0;212;0;0;0
;840;Rucphen;11154;9;0,08%;18101;11163;61,67%;4750;2003;553;3848;0;0;0;0;0;0;0;0
;278;Ruurlo;4323;3;0,07%;6432;4326;67,26%;678;1284;910;1451;0;0;0;0;0;0;0;0
;604;Sassenheim;6794;27;0,40%;11265;6821;60,55%;0;2648;1538;1978;0;630;0;0;0;0;0;0
;441;Schagen;7970;13;0,16%;13577;7983;58,80%;2884;1095;1686;1837;468;0;0;0;0;0;0;0
;39;Scheemda;7200;4;0,06%;11177;7204;64,45%;0;1570;2174;997;785;0;497;0;1067;0;0;110
;458;Schermer;2639;14;0,53%;3659;2653;72,51%;1074;814;308;443;0;0;0;0;0;0;0;0
;279;Scherpenzeel;4984;4;0,08%;6655;4988;74,95%;0;1014;0;899;0;0;650;0;1493;928;0;0
;606;Schiedam;27884;52;0,19%;58365;27936;47,86%;7743;4701;5423;3957;1869;1067;0;1949;0;0;0;1175
;88;Schiermonnikoog;704;5;0,71%;828;709;85,63%;449;0;0;0;0;0;0;0;0;0;255;0
;844;Schijndel;10039;49;0,49%;17630;10088;57,22%;2560;1633;1958;1630;0;0;0;2258;0;0;0;0
;962;Schinnen;7972;14;0,18%;10579;7986;75,49%;2568;3688;1220;496;0;0;0;0;0;0;0;0
;607;Schipluiden;5547;27;0,49%;8069;5574;69,08%;0;2782;0;1154;0;0;0;0;1611;0;0;0
;608;Schoonhoven;5970;8;0,13%;9299;5978;64,29%;1359;1258;0;863;675;0;0;0;1061;0;754;0
;1676;Schouwen-Duiveland;18114;75;0,41%;26799;18189;67,87%;5403;2828;2221;3363;760;562;1122;0;0;1855;0;0
;964;Sevenum;3672;15;0,41%;5527;3687;66,71%;1314;1741;0;0;0;0;0;0;617;0;0;0
;517;'s-Gravendeel;4256;7;0,16%;6928;4263;61,53%;0;1051;1579;641;0;369;0;0;0;616;0;0
;518;'s-Gravenhage;154553;674;0,44%;349516;155227;44,41%;32630;21529;31326;33074;11116;9352;0;7839;2796;0;3885;1006
;519;'s-Gravenzande;8503;8;0,09%;14596;8511;58,31%;1172;3116;1120;1905;327;0;0;0;0;0;863;0
;796;'s-Hertogenbosch;53665;99;0,18%;101994;53764;52,71%;21966;7558;5759;7272;5196;2275;0;3639;0;0;0;0
;965;Simpelveld;6901;7;0,10%;9172;6908;75,32%;5649;958;294;0;0;0;0;0;0;0;0;0
;1702;Sint Anthonis;6176;39;0,63%;8594;6215;72,32%;3545;2631;0;0;0;0;0;0;0;0;0;0
;845;Sint-Michielsgestel;13087;29;0,22%;21330;13116;61,49%;7230;2767;1399;1183;0;508;0;0;0;0;0;0
;846;Sint-Oedenrode;8410;11;0,13%;13037;8421;64,59%;3356;2265;0;1213;0;0;0;0;1576;0;0;0
;51;Skarsterlân;13560;11;0,08%;20295;13571;66,87%;2852;4337;3293;1750;0;715;613;0;0;0;0;0
