Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;GL;D66;LCG;SP;LPG;SGP;RPF;Overig;GPV;CD;CP86
10211;96;Vlieland;748;2;0,27%;895;750;83,80%;0;246;233;269;0;0;0;0;0;0;0;0;0;0;0
10270;718;Vlissingen;17879;50;0,28%;34814;17929;51,50%;2739;4494;636;3601;1329;1531;1332;1949;0;0;0;0;0;268;0
11174;623;Vlist;5362;26;0,48%;7448;5388;72,34%;1181;740;1843;714;0;0;884;0;0;0;0;0;0;0;0
11341;986;Voerendaal;7126;8;0,11%;10360;7134;68,86%;1583;1333;2457;588;0;1165;0;0;0;0;0;0;0;0;0
11103;624;Voorburg;19586;48;0,25%;31786;19634;61,77%;3708;3365;2154;7108;1705;1546;0;0;0;0;0;0;0;0;0
10017;625;Voorhout;5763;14;0,24%;8720;5777;66,25%;1208;899;1980;1313;0;363;0;0;0;0;0;0;0;0;0
10537;626;Voorschoten;11623;12;0,10%;17590;11635;66,15%;3030;1919;0;3945;1419;1310;0;0;0;0;0;0;0;0;0
10912;285;Voorst;11970;49;0,41%;17881;12019;67,22%;3189;2240;2531;2780;0;788;442;0;0;0;0;0;0;0;0
10957;286;Vorden;4702;9;0,19%;6664;4711;70,69%;1781;937;0;1591;0;393;0;0;0;0;0;0;0;0;0
10643;186;Vriezenveen;10441;40;0,38%;14539;10481;72,09%;3514;1898;1633;1562;0;0;0;0;0;568;1266;0;0;0;0
11224;865;Vught;11384;55;0,48%;19014;11439;60,16%;2400;0;2738;2323;0;830;0;0;3093;0;0;0;0;0;0
10959;866;Waalre;8312;5;0,06%;12378;8317;67,19%;1082;625;4011;1771;0;823;0;0;0;0;0;0;0;0;0
11359;867;Waalwijk;17620;42;0,24%;34165;17662;51,70%;3327;1981;7776;2199;0;658;924;0;0;755;0;0;0;0;0
10081;627;Waddinxveen;12142;27;0,22%;19609;12169;62,06%;2051;2615;0;3319;0;1095;3062;0;0;0;0;0;0;0;0
11010;289;Wageningen;16025;67;0,42%;26086;16092;61,69%;2281;4127;0;2440;4023;1496;642;0;681;335;0;0;0;0;0
10204;628;Warmond;2651;12;0,45%;4157;2663;64,06%;1058;0;0;638;0;0;0;0;955;0;0;0;0;0;0
10838;291;Warnsveld;4311;18;0,42%;6732;4329;64,30%;975;0;0;1163;0;620;0;0;1553;0;0;0;0;0;0
10164;629;Wassenaar;12883;19;0,15%;19683;12902;65,55%;3692;1584;0;6220;611;776;0;0;0;0;0;0;0;0;0
11329;630;Wateringen;6972;15;0,22%;11360;6987;61,51%;2954;1056;0;2359;0;603;0;0;0;0;0;0;0;0;0
10983;852;Waterland;9526;17;0,18%;13590;9543;70,22%;2009;1686;0;1766;1145;0;2920;0;0;0;0;0;0;0;0
10893;188;Weerselo;5338;32;0,60%;6843;5370;78,47%;2865;0;2473;0;0;0;0;0;0;0;0;0;0;0;0
11081;988;Weert;18566;53;0,29%;37148;18619;50,12%;4719;3593;6359;2471;609;418;0;0;0;0;0;0;0;397;0
10773;457;Weesp;8218;11;0,13%;14184;8229;58,02%;2334;1742;0;1604;1162;621;0;0;0;0;0;755;0;0;0
11116;292;Wehl;3432;1;0,03%;5257;3433;65,30%;1217;1086;1129;0;0;0;0;0;0;0;0;0;0;0;0
