Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;RK;Overige;D66;PAK;SGP;CPN;PPR;PSP;GPV;PC;GG;PCG;BP;DS70
10964;933;Maasbracht;4278;51;1,19%;5214;4329;83,03%;3484;414;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11352;934;Maasbree;5099;38;0,75%;6479;5137;79,29%;0;0;0;5099;0;0;0;0;0;0;0;0;0;0;0;0;0
11019;554;Maasdam;1797;6;0,33%;2114;1803;85,29%;482;617;511;0;0;0;0;187;0;0;0;0;0;0;0;0;0
10341;263;Maasdriel;4640;26;0,56%;5276;4666;88,44%;1399;206;365;0;2670;0;0;0;0;0;0;0;0;0;0;0;0
10393;555;Maasland;3227;6;0,19%;3664;3233;88,24%;1789;211;505;0;636;0;0;86;0;0;0;0;0;0;0;0;0
10880;556;Maassluis;14668;90;0,61%;21065;14758;70,06%;5000;4667;2827;0;0;1069;0;366;0;637;0;102;0;0;0;0;0
10182;935;Maastricht;46454;326;0,70%;78882;46780;59,30%;20142;12778;4046;0;5790;1327;0;0;489;1136;746;0;0;0;0;0;0
10258;812;Made en Drimmelen;5964;43;0,72%;7739;6007;77,62%;1660;1155;284;1745;993;0;0;0;0;127;0;0;0;0;0;0;0
11243;936;Margraten;2021;30;1,48%;2260;2051;90,75%;0;0;0;2021;0;0;0;0;0;0;0;0;0;0;0;0;0
11221;686;Mariekerke;1856;7;0,38%;2085;1863;89,35%;649;0;0;0;503;0;0;704;0;0;0;0;0;0;0;0;0
11382;169;Markelo;4269;21;0,49%;4934;4290;86,95%;973;1123;701;0;1251;221;0;0;0;0;0;0;0;0;0;0;0
10901;419;Marken;1301;8;0,61%;1405;1309;93,17%;824;477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11431;25;Marum;4565;17;0,37%;5557;4582;82,45%;1415;1764;669;0;335;0;0;0;0;0;0;134;0;0;0;248;0
10300;264;Maurik;3388;12;0,35%;3972;3400;85,60%;959;1355;434;0;640;0;0;0;0;0;0;0;0;0;0;0;0
11215;420;Medemblik;3271;14;0,43%;4315;3285;76,13%;1205;651;310;0;624;0;0;0;481;0;0;0;0;0;0;0;0
10304;26;Meeden;1054;13;1,23%;1226;1067;87,03%;248;600;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0
10618;557;Meerkerk;1761;4;0,23%;1956;1765;90,24%;537;442;386;0;264;0;0;132;0;0;0;0;0;0;0;0;0
11416;993;Meerlo-Wanssum;3451;41;1,19%;4396;3492;79,44%;0;0;0;3451;0;0;0;0;0;0;0;0;0;0;0;0;0
10494;938;Meerssen;5248;41;0,78%;6121;5289;86,41%;0;300;0;4889;0;0;0;0;59;0;0;0;0;0;0;0;0
10988;813;Megen c.a.;1597;12;0,75%;1873;1609;85,90%;0;0;0;1597;0;0;0;0;0;0;0;0;0;0;0;0;0
10925;941;Meijel;2550;30;1,18%;3307;2580;78,02%;0;0;0;2550;0;0;0;0;0;0;0;0;0;0;0;0;0
